Local,População no último censo,geometry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Caiuá, 5039,,5039,5089.39,5139.89,5190.39,5241.9,5293.41,5345.93,5398.45,5451.98,5505.51,5560.05
Castilho, 18003,,18003,18183.03,18364.83,18547.64,18732.47,18919.32,19108.19,19299.08,19491.99,19685.91,19881.85
Dracena, 43258,,43258,43690.58,44126.9,44567.26,45012.67,45462.12,45916.62,46375.16,46838.75,47306.38,47779.06
Estrela do Norte, 2658,,2658,2684.58,2710.84,2737.1,2764.37,2791.64,2818.91,2846.18,2874.46,2902.74,2931.02
Euclides da Cunha Paulista, 9585,,9585,9680.85,9776.8,9873.76,9971.73,10070.71,10170.7,10271.7,10373.71,10476.73,10580.76
Marabá Paulista, 4812,,4812,4860.12,4908.6,4957.08,5006.57,5056.06,5106.56,5157.06,5208.57,5260.08,5312.6
Mirante do Paranapanema, 17059,,17059,17229.59,17401.29,17575.01,17750.75,17927.5,18106.27,18287.06,18469.87,18653.69,18839.53
Monte Castelo, 4063,,4063,4103.63,4144.03,4185.44,4226.85,4268.26,4310.68,4353.1,4396.53,4439.96,4483.39
Narandiba, 4288,,4288,4330.88,4373.3,4416.73,4460.16,4504.6,4549.04,4594.49,4639.94,4685.39,4731.85
Nova Guataporanga, 2177,,2177,2198.77,2219.98,2241.19,2263.41,2285.63,2307.85,2330.07,2353.3,2376.53,2399.76
Ouro Verde, 7800,,7800,7878.0,7956.78,8035.56,8115.35,8196.15,8277.96,8359.77,8442.59,8526.42,8611.26
Panorama, 14583,,14583,14728.83,14875.28,15023.75,15173.23,15324.73,15477.24,15631.77,15787.31,15944.87,16103.44
Paulicéia, 6339,,6339,6402.39,6466.02,6530.66,6595.3,6660.95,6726.6,6793.26,6860.93,6928.6,6997.28
Piquerobi, 3537,,3537,3572.37,3607.72,3643.07,3679.43,3715.79,3752.15,3789.52,3826.89,3864.26,3902.64
Presidente Bernardes, 13570,,13570,13705.7,13842.05,13980.42,14119.8,14260.19,14402.6,14546.02,14691.46,14837.91,14985.37
